artistName,segment
SoFaygo,Previously Active Listeners
Noriel,Previously Active Listeners
Young Nudy,Previously Active Listeners
INNA,Previously Active Listeners
RL Grime,Previously Active Listeners
Tesher,Previously Active Listeners
Julia Michaels,Moderate listeners
Dave,Previously Active Listeners
070 Shake,Previously Active Listeners
Jorja Smith,Light listeners
Yiruma,Previously Active Listeners
Julia Lester,Previously Active Listeners
Metro Boomin,Previously Active Listeners
The Lumineers,Moderate listeners
Matroda,Previously Active Listeners
Rita Ora,Previously Active Listeners
Maroon 5,Light listeners
Chief Keef,Previously Active Listeners
Quavo,Previously Active Listeners
Duncan Laurence,Light listeners
Enrique Iglesias,Previously Active Listeners
The Wanted,Previously Active Listeners
Olivia O'Brien,Previously Active Listeners
Sampha,Previously Active Listeners
Ehis 'D' Greatest,Previously Active Listeners
Iggy Azalea,Previously Active Listeners
Dj Meetha,Previously Active Listeners
Lizzy McAlpine,Previously Active Listeners
Becky G,Previously Active Listeners
Clinton Kane,Light listeners
Gracie Abrams,Previously Active Listeners
Shaboozey,Previously Active Listeners
Morad,Previously Active Listeners
4batz,Previously Active Listeners
Rachel Platten,Previously Active Listeners
Cali Swag District,Previously Active Listeners
Ellie Goulding,Previously Active Listeners
Dave Chappelle,Previously Active Listeners
Ozuna,Previously Active Listeners
Tarro,Previously Active Listeners
Two Friends,Previously Active Listeners
Harry Styles,Previously Active Listeners
The Greatest Showman Ensemble,Previously Active Listeners
iLoveMemphis,Previously Active Listeners
Lauv,Moderate listeners
Conor Maynard,Previously Active Listeners
Magic System,Previously Active Listeners
Christina Aguilera,Light listeners
Martin Solveig & Dragonette,Previously Active Listeners
K/DA,Previously Active Listeners
VAX,Previously Active Listeners
ILOVEMAKONNEN,Previously Active Listeners
Nuka,Previously Active Listeners
Tiësto,Moderate listeners
Lil Wayne,Light listeners
Khaled,Previously Active Listeners
Flo Rida,Previously Active Listeners
Chris Cox,Previously Active Listeners
Lil Tjay,Previously Active Listeners
Badger,Light listeners
Mariah Carey,Previously Active Listeners
Michael Marcagi,Light listeners
KAROL G,Previously Active Listeners
Lara Liang,Previously Active Listeners
Major Lazer,Light listeners
Louis Tomlinson,Previously Active Listeners
Alok,Previously Active Listeners
Surfaces,Previously Active Listeners
Nat King Cole,Previously Active Listeners
Migos,Previously Active Listeners
CADE,Previously Active Listeners
Desiigner,Previously Active Listeners
Kevin McKay,Previously Active Listeners
MC L da Vinte,Previously Active Listeners
Illijah,Previously Active Listeners
NOTD,Previously Active Listeners
d4vd,Light listeners
Jessie James Decker,Light listeners
Ayra Starr,Moderate listeners
DJ Snake,Previously Active Listeners
