artistName,segment,user_id
Black Eyed Peas,Previously Active Listeners,user_001
Avicii,Previously Active Listeners,user_001
Baby Keem,Light listeners,user_001
Swae Lee,Previously Active Listeners,user_001
Arctic Monkeys,Moderate listeners,user_001
Don Toliver,Previously Active Listeners,user_001
Luke Combs,Previously Active Listeners,user_001
Silk Sonic,Previously Active Listeners,user_001
Seal,Light listeners,user_001
Cochise,Previously Active Listeners,user_001
Green Day,Light listeners,user_001
Nardo Wick,Previously Active Listeners,user_001
Kiana Ledé,Previously Active Listeners,user_002
Drake,Moderate listeners,user_002
Neon Trees,Previously Active Listeners,user_002
R3HAB,Moderate listeners,user_002
Dominic Fike,Previously Active Listeners,user_002
Snoop Dogg,Previously Active Listeners,user_002
Joel Corry,Previously Active Listeners,user_002
Switch Disco,Previously Active Listeners,user_002
Dash Berlin,Previously Active Listeners,user_002
Owl City,Previously Active Listeners,user_002
Bruno Mars,Moderate listeners,user_002
BANNERS,Light listeners,user_002
Tory Lanez,Previously Active Listeners,user_002
Otto Knows,Light listeners,user_002
Kita Alexander,Previously Active Listeners,user_002
DTG,Previously Active Listeners,user_002
Sexyy Red,Previously Active Listeners,user_002
Kelsea Ballerini,Light listeners,user_002
Jonas Brothers,Previously Active Listeners,user_002
Joy Oladokun,Moderate listeners,user_002
Zac Efron,Previously Active Listeners,user_002
Justin Jesso,Previously Active Listeners,user_002
Gabry Ponte,Previously Active Listeners,user_002
Kygo,Moderate listeners,user_002
Ashley Kutcher,Light listeners,user_002
ROSÉ,Moderate listeners,user_002
Three 6 Mafia,Previously Active Listeners,user_002
MKTO,Previously Active Listeners,user_002
5 Seconds of Summer,Previously Active Listeners,user_002
FISHER,Light listeners,user_002
Ava Max,Moderate listeners,user_002
Gavin DeGraw,Previously Active Listeners,user_002
Poo Bear,Previously Active Listeners,user_002
Jessie Murph,Previously Active Listeners,user_002
Sam Hunt,Previously Active Listeners,user_002
Cedric Gervais,Moderate listeners,user_002
Justin Timberlake,Previously Active Listeners,user_002
Luke Bryan,Previously Active Listeners,user_002
Beyoncé,Previously Active Listeners,user_002
Michael Schulte,Previously Active Listeners,user_002
Camila Cabello,Moderate listeners,user_002
AFROJACK,Previously Active Listeners,user_002
Alan Walker,Light listeners,user_002
MAGIC!,Previously Active Listeners,user_002
Jack & Jack,Previously Active Listeners,user_002
Naughty Boy,Previously Active Listeners,user_002
Axwell /\ Ingrosso,Previously Active Listeners,user_002
Ella Mai,Previously Active Listeners,user_002
AJR,Previously Active Listeners,user_002
Anitta,Light listeners,user_002
Jack Ü,Previously Active Listeners,user_002
Eli Young Band,Moderate listeners,user_002
Adele,Light listeners,user_002
Brendon Urie,Previously Active Listeners,user_002
Astrid S,Moderate listeners,user_002
Europa,Previously Active Listeners,user_002
OMI,Previously Active Listeners,user_002
Natasha Bedingfield,Light listeners,user_002
Jelly Roll,Previously Active Listeners,user_002
benny blanco,Previously Active Listeners,user_002
XXXTENTACION,Light listeners,user_002
Shouse,Previously Active Listeners,user_002
